Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Jefferson County Sheriff Department,IN,12,,55.0,0,1.0,1,53,292.0,108,171.0,13.0,,,,,,,,,,jefferson county,"jefferson county,IN",05000US18077
Jennings County Sheriff Department,IN,5,,39.0,0,1.0,0,38,184.0,105,75.0,4.0,,,,,,,,,,jennings county,"jennings county,IN",05000US18079
La Porte County Sheriff Department,IN,7,,10.0,0,3.0,3,4,420.0,175,226.0,19.0,,,,,,,,,,la porte county,"la porte county,IN",05000US18091
Madison County Sheriff Department,IN,12,,58.0,0,5.0,9,44,718.0,256,437.0,25.0,,,,,,,,,,madison county,"madison county,IN",05000US18095
Miami County Sheriff Department,IN,12,,3.0,0,1.0,1,1,174.0,56,113.0,5.0,,,,,,,,,,miami county,"miami county,IN",05000US18103
Morgan County Sheriff Department,IN,12,,18.0,0,7.0,1,10,111.0,58,52.0,1.0,,,,,,,,,,morgan county,"morgan county,IN",05000US18109
Putnam County Sheriff Department,IN,12,,2.0,0,2.0,0,0,50.0,10,36.0,4.0,,,,,,,,,,putnam county,"putnam county,IN",05000US18133
Randolph County Sheriff Department,IN,10,,2.0,0,2.0,0,0,29.0,12,12.0,5.0,,,,,,,,,,randolph county,"randolph county,IN",05000US18135
Scott County Sheriff Department,IN,12,,0.0,0,0.0,0,0,34.0,9,25.0,0.0,,,,,,,,,,scott county,"scott county,IN",05000US18143
Shelby County Sheriff Department,IN,12,,7.0,0,0.0,0,7,116.0,35,73.0,8.0,,,,,,,,,,shelby county,"shelby county,IN",05000US18145
Virginia Police Dept,IN,12,1604.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,virginia,"virginia,IN",04000US51
Wabash County Sheriff Department,IN,12,,2.0,0,0.0,0,2,40.0,11,27.0,2.0,,,,,,,,,,wabash county,"wabash county,IN",05000US18169
Washington County Sheriff Department,IN,9,,32.0,0,0.0,0,32,41.0,12,29.0,0.0,,,,,,,,,,washington county,"washington county,IN",05000US18175
Wayne County Sheriff Department,IN,12,,17.0,0,0.0,0,17,122.0,39,81.0,2.0,,,,,,,,,,wayne county,"wayne county,IN",05000US18177
White County Sheriff Department,IN,12,,15.0,2,1.0,0,12,132.0,35,87.0,10.0,,,,,,,,,,white county,"white county,IN",05000US18181
Arkansas Police Dept,KS,12,12464.0,70.0,0,7.0,2,61,534.0,126,385.0,23.0,561.6,0.0,56.2,16.0,489.4,4284.3,1010.9,3088.9,184.5,arkansas,"arkansas,KS",04000US05
Barton County Sheriff Department,KS,12,,11.0,0,1.0,1,9,151.0,57,87.0,7.0,,,,,,,,,,barton county,"barton county,KS",05000US20009
Cowley County Sheriff Department,KS,12,,37.0,0,2.0,0,35,153.0,49,93.0,11.0,,,,,,,,,,cowley county,"cowley county,KS",05000US20035
Crawford County Sheriff Office,KS,12,,16.0,0,1.0,0,15,222.0,89,116.0,17.0,,,,,,,,,,crawford county,"crawford county,KS",05000US20037
Douglas County Sheriff Department,KS,12,,25.0,0,2.0,2,21,172.0,64,99.0,9.0,,,,,,,,,,douglas county,"douglas county,KS",05000US20045
Finney County Sheriff Department,KS,12,,37.0,0,8.0,3,26,200.0,57,137.0,6.0,,,,,,,,,,finney county,"finney county,KS",05000US20055
Ford County Sheriff Department,KS,12,,25.0,0,0.0,1,24,124.0,57,62.0,5.0,,,,,,,,,,ford county,"ford county,KS",05000US20057
Geary County Sheriff Department,KS,12,,16.0,0,1.0,0,15,40.0,9,29.0,2.0,,,,,,,,,,geary county,"geary county,KS",05000US20061
Harvey County Sheriff Department,KS,12,,8.0,0,1.0,0,7,103.0,49,50.0,4.0,,,,,,,,,,harvey county,"harvey county,KS",05000US20079
Labette County Sheriff Office,KS,12,,4.0,0,0.0,0,4,97.0,43,43.0,11.0,,,,,,,,,,labette county,"labette county,KS",05000US20099
Miami County Sheriff Department,KS,12,,23.0,0,9.0,0,14,227.0,91,116.0,20.0,,,,,,,,,,miami county,"miami county,KS",05000US20121
Montgomery County Sheriff Department,KS,12,,25.0,0,1.0,0,24,170.0,57,102.0,11.0,,,,,,,,,,montgomery county,"montgomery county,KS",05000US20125
Pottawatomie County Sheriff Department,KS,12,,36.0,0,2.0,1,33,237.0,54,168.0,15.0,,,,,,,,,,pottawatomie county,"pottawatomie county,KS",05000US20149
Reno County Sheriff Department,KS,12,,24.0,0,0.0,2,22,191.0,72,93.0,26.0,,,,,,,,,,reno county,"reno county,KS",05000US20155
Riley County Police Department,KS,12,,174.0,1,27.0,22,124,1355.0,225,1090.0,40.0,,,,,,,,,,riley county,"riley county,KS",05000US20161
Saline County Sheriff Department,KS,12,,23.0,1,2.0,3,17,141.0,47,83.0,11.0,,,,,,,,,,saline county,"saline county,KS",05000US20169
Seward County Sheriff Department,KS,12,,9.0,0,3.0,0,6,26.0,9,14.0,3.0,,,,,,,,,,seward county,"seward county,KS",05000US20175
Sumner County Sheriff Department,KS,12,,22.0,0,1.0,1,20,147.0,58,82.0,7.0,,,,,,,,,,sumner county,"sumner county,KS",05000US20191
Wyandotte County Sheriff Department,KS,12,,19.0,0,0.0,2,17,43.0,2,39.0,2.0,,,,,,,,,,wyandotte county,"wyandotte county,KS",05000US20209
Alexandria City Police Dept,LA,12,48449.0,815.0,9,14.0,142,650,3630.0,974,2472.0,184.0,1682.2,18.6,28.9,293.1,1341.6,7492.4,2010.4,5102.3,379.8,alexandria city,"alexandria city,LA",16000US2200975
Allen Parish Sheriff Department,LA,12,,18.0,0,1.0,2,15,201.0,57,144.0,0.0,,,,,,,,,,allen parish,"allen parish,LA",05000US22003
Ascension Parish Sheriff Department,LA,12,,63.0,0,21.0,42,0,2760.0,656,2069.0,35.0,,,,,,,,,,ascension parish,"ascension parish,LA",05000US22005
Assumption Parish Sheriff Office,LA,12,,87.0,2,13.0,7,65,407.0,96,290.0,21.0,,,,,,,,,,assumption parish,"assumption parish,LA",05000US22007
Avoyelles Parish Sheriff Department,LA,12,,152.0,1,28.0,4,119,531.0,176,342.0,13.0,,,,,,,,,,avoyelles parish,"avoyelles parish,LA",05000US22009
Caddo Parish Sheriff Department,LA,12,,19.0,0,7.0,8,4,856.0,223,621.0,12.0,,,,,,,,,,caddo parish,"caddo parish,LA",05000US22017
Calcasieu Parish Sheriff Department,LA,12,,137.0,0,56.0,31,50,3871.0,1275,2544.0,52.0,,,,,,,,,,calcasieu parish,"calcasieu parish,LA",05000US22019
Concordia Parish Sheriff Department,LA,12,,59.0,2,2.0,2,53,236.0,62,158.0,16.0,,,,,,,,,,concordia parish,"concordia parish,LA",05000US22029
De Soto Parish Sheriff Department,LA,12,,309.0,2,0.0,7,300,376.0,67,256.0,53.0,,,,,,,,,,de soto parish,"de soto parish,LA",05000US22031
East Baton Rouge Parish Sheriff Dept,LA,12,,371.0,18,6.0,237,110,8193.0,1802,6225.0,166.0,,,,,,,,,,east baton rouge parish,"east baton rouge parish,LA",05000US22033
East Feliciana Parish Sheriff Department,LA,12,,1.0,0,0.0,0,1,38.0,10,24.0,4.0,,,,,,,,,,east feliciana parish,"east feliciana parish,LA",05000US22037
Evangeline Parish Sheriff Department,LA,12,,9.0,0,3.0,2,4,362.0,75,287.0,0.0,,,,,,,,,,evangeline parish,"evangeline parish,LA",05000US22039
Grant Parish Sheriff Office,LA,11,,10.0,0,0.0,0,10,227.0,64,157.0,6.0,,,,,,,,,,grant parish,"grant parish,LA",05000US22043
Iberia Parish Sheriff Department,LA,12,,83.0,0,14.0,69,0,1735.0,562,1165.0,8.0,,,,,,,,,,iberia parish,"iberia parish,LA",05000US22045
Iberville Parish Sheriff Department,LA,12,,292.0,5,6.0,18,263,657.0,170,468.0,19.0,,,,,,,,,,iberville parish,"iberville parish,LA",05000US22047
Iowa Police Dept,LA,12,3035.0,65.0,1,0.0,5,59,61.0,7,47.0,7.0,2141.7,32.9,0.0,164.7,1944.0,2009.9,230.6,1548.6,230.6,iowa,"iowa,LA",04000US19
Jefferson Parish Sheriff Department,LA,12,,1651.0,33,64.0,412,1142,12479.0,2568,9128.0,783.0,,,,,,,,,,jefferson parish,"jefferson parish,LA",05000US22051
Lafayette Police Dept,LA,12,122852.0,779.0,11,11.0,202,555,6815.0,1330,5244.0,241.0,634.1,9.0,9.0,164.4,451.8,5547.3,1082.6,4268.6,196.2,lafayette,"lafayette,LA",05000US22055
Lafourche Parish Sheriff Department,LA,12,,112.0,3,0.0,17,92,1848.0,616,1164.0,68.0,,,,,,,,,,lafourche parish,"lafourche parish,LA",05000US22057
Livingston Parish Sheriff Department,LA,12,,370.0,1,9.0,23,337,2324.0,729,1504.0,91.0,,,,,,,,,,livingston parish,"livingston parish,LA",05000US22063
Morehouse Parish Sheriff Department,LA,12,,3.0,0,0.0,1,2,102.0,11,91.0,0.0,,,,,,,,,,morehouse parish,"morehouse parish,LA",05000US22067
Mount Washington Police Dept,LA,12,9237.0,6.0,0,2.0,2,2,189.0,76,108.0,5.0,65.0,0.0,21.7,21.7,21.7,2046.1,822.8,1169.2,54.1,mount washington,"mount washington,LA",16000US5347560
Orleans Police Dept,LA,12,5939.0,17.0,0,0.0,0,17,178.0,38,138.0,2.0,286.2,0.0,0.0,0.0,286.2,2997.1,639.8,2323.6,33.7,orleans,"orleans,LA",05000US22071
Ouachita Parish Sheriff'S Office,LA,12,,183.0,6,8.0,28,141,2688.0,817,1784.0,87.0,,,,,,,,,,ouachita parish,"ouachita parish,LA",05000US22073
Pointe Coupee Parish Sheriff Department,LA,12,,105.0,0,3.0,4,98,313.0,109,183.0,21.0,,,,,,,,,,pointe coupee parish,"pointe coupee parish,LA",05000US22077
Rapides Parish Sheriff Department,LA,12,,83.0,0,23.0,14,46,1747.0,605,1095.0,47.0,,,,,,,,,,rapides parish,"rapides parish,LA",05000US22079
Richland Parish Sheriff Department,LA,12,,10.0,0,1.0,0,9,214.0,35,169.0,10.0,,,,,,,,,,richland parish,"richland parish,LA",05000US22083
Sabine Parish Sheriff Department,LA,9,,24.0,0,1.0,0,23,206.0,0,204.0,2.0,,,,,,,,,,sabine parish,"sabine parish,LA",05000US22085
Slidell City Police Dept,LA,12,27581.0,106.0,2,13.0,17,74,1633.0,178,1414.0,41.0,384.3,7.3,47.1,61.6,268.3,5920.7,645.4,5126.7,148.7,slidell city,"slidell city,LA",16000US2270805
St. Bernard Parish Sheriff Office,LA,12,,94.0,0,7.0,33,54,667.0,133,499.0,35.0,,,,,,,,,,st. bernard parish,"st. bernard parish,LA",05000US22087
St. Charles Parish Sheriff Department,LA,12,,265.0,2,8.0,32,223,1605.0,409,1118.0,78.0,,,,,,,,,,st. charles parish,"st. charles parish,LA",05000US22089
St. John The Baptist Parish Sheriff Office,LA,12,,61.0,8,3.0,26,24,1308.0,423,812.0,73.0,,,,,,,,,,st. john the baptist parish,"st. john the baptist parish,LA",05000US22095
St. Landry Parish Sheriff Department,LA,12,,68.0,0,6.0,12,50,747.0,297,415.0,35.0,,,,,,,,,,st. landry parish,"st. landry parish,LA",05000US22097
St. Martin Parish Sheriff Department,LA,12,,127.0,2,6.0,14,105,675.0,120,548.0,7.0,,,,,,,,,,st. martin parish,"st. martin parish,LA",05000US22099
St. Mary Parish Sheriff Department,LA,12,,160.0,0,11.0,20,129,925.0,223,644.0,58.0,,,,,,,,,,st. mary parish,"st. mary parish,LA",05000US22101
St. Tammany Parish Sheriff Department,LA,12,,261.0,7,15.0,15,224,2564.0,651,1755.0,158.0,,,,,,,,,,st. tammany parish,"st. tammany parish,LA",05000US22103
Sulphur City Police Dept,LA,12,20671.0,159.0,0,7.0,19,133,983.0,271,693.0,19.0,769.2,0.0,33.9,91.9,643.4,4755.5,1311.0,3352.5,91.9,sulphur city,"sulphur city,LA",16000US2273640
Tangipahoa Parish Sheriff Department,LA,12,,732.0,7,44.0,53,628,3724.0,1384,2151.0,189.0,,,,,,,,,,tangipahoa parish,"tangipahoa parish,LA",05000US22105
Terrebonne Parish Sheriff Department,LA,12,,221.0,3,19.0,41,158,2625.0,483,1963.0,179.0,,,,,,,,,,terrebonne parish,"terrebonne parish,LA",05000US22109
Union Parish Sheriff Office,LA,12,,35.0,0,0.0,0,35,28.0,11,17.0,0.0,,,,,,,,,,union parish,"union parish,LA",05000US22111
Vermilion Parish Sheriff Department,LA,12,,86.0,1,12.0,7,66,772.0,248,495.0,29.0,,,,,,,,,,vermilion parish,"vermilion parish,LA",05000US22113
Vernon Parish Sheriff Department,LA,12,,84.0,1,11.0,4,68,713.0,53,586.0,74.0,,,,,,,,,,vernon parish,"vernon parish,LA",05000US22115
Washington Parish Sheriff Department,LA,12,,89.0,2,10.0,3,74,838.0,263,536.0,39.0,,,,,,,,,,washington parish,"washington parish,LA",05000US22117
West Baton Rouge Parish Sheriff Department,LA,12,,75.0,3,2.0,6,64,610.0,65,512.0,33.0,,,,,,,,,,west baton rouge parish,"west baton rouge parish,LA",05000US22121
Allegany County Sheriff Office,MD,12,,49.0,0,2.0,6,41,311.0,96,204.0,11.0,,,,,,,,,,allegany county,"allegany county,MD",05000US24001
Anne Arundel County Police Department,MD,9,,1557.0,5,73.0,340,1139,10076.0,1750,7676.0,650.0,,,,,,,,,,anne arundel county,"anne arundel county,MD",05000US24003
Baltimore City Police Dept,MD,12,625474.0,8789.0,218,315.0,3605,4651,29149.0,7770,17397.0,3982.0,1405.2,34.9,50.4,576.4,743.6,4660.3,1242.3,2781.4,636.6,baltimore city,"baltimore city,MD",16000US2404000
Baltimore County Police Department,MD,12,,4145.0,24,145.0,1367,2609,23327.0,4061,17704.0,1562.0,,,,,,,,,,baltimore county,"baltimore county,MD",05000US24005
Bel Air Police Dept,MD,12,10285.0,40.0,1,1.0,4,34,366.0,27,331.0,8.0,388.9,9.7,9.7,38.9,330.6,3558.6,262.5,3218.3,77.8,bel air,"bel air,MD",16000US2405825
Caroline County Sheriff Department,MD,12,,25.0,1,2.0,8,14,389.0,156,218.0,15.0,,,,,,,,,,caroline county,"caroline county,MD",05000US24011
Cecil County Sheriff Department,MD,12,,166.0,0,21.0,25,120,885.0,319,510.0,56.0,,,,,,,,,,cecil county,"cecil county,MD",05000US24015
Charles County Sheriff Office,MD,12,,536.0,6,32.0,145,353,3062.0,581,2302.0,179.0,,,,,,,,,,charles county,"charles county,MD",05000US24017
Dorchester County Sheriff Office,MD,12,,22.0,0,3.0,0,19,251.0,78,161.0,12.0,,,,,,,,,,dorchester county,"dorchester county,MD",05000US24019
Garrett County Sheriff Office,MD,12,,30.0,1,0.0,2,27,321.0,74,231.0,16.0,,,,,,,,,,garrett county,"garrett county,MD",05000US24023
Harford County Sheriff Office,MD,12,,487.0,2,43.0,100,342,2451.0,779,1542.0,130.0,,,,,,,,,,harford county,"harford county,MD",05000US24025
Howard County Police Department,MD,12,,574.0,4,34.0,177,359,6410.0,1185,4913.0,312.0,,,,,,,,,,howard county,"howard county,MD",05000US24027
Milford Police Dept,MD,12,15848.0,7.0,0,3.0,1,3,152.0,35,110.0,7.0,44.2,0.0,18.9,6.3,18.9,959.1,220.8,694.1,44.2,milford,"milford,MD",16000US2452562
Montgomery County Police Department,MD,12,,1795.0,14,102.0,829,850,16695.0,2600,13083.0,1012.0,,,,,,,,,,montgomery county,"montgomery county,MD",05000US24031
Talbot County Sheriff Department,MD,12,,13.0,0,1.0,3,9,235.0,92,139.0,4.0,,,,,,,,,,talbot county,"talbot county,MD",05000US24041
Wicomico County Sheriff Department,MD,12,,81.0,2,4.0,18,57,794.0,254,505.0,35.0,,,,,,,,,,wicomico county,"wicomico county,MD",05000US24045
Worcester Police Dept,MD,12,183247.0,1758.0,8,33.0,419,1298,6432.0,2040,3927.0,465.0,959.4,4.4,18.0,228.7,708.3,3510.0,1113.3,2143.0,253.8,worcester,"worcester,MD",05000US24047
Adair County Sheriff Department,MO,12,,3.0,0,0.0,0,3,144.0,27,110.0,7.0,,,,,,,,,,adair county,"adair county,MO",05000US29001
Audrain County Sheriff Department,MO,12,,4.0,0,0.0,0,4,125.0,43,76.0,6.0,,,,,,,,,,audrain county,"audrain county,MO",05000US29007
Barry County Sheriff Office,MO,12,,54.0,0,5.0,1,48,488.0,186,266.0,36.0,,,,,,,,,,barry county,"barry county,MO",05000US29009
Boone County Sheriff Department,MO,12,,114.0,0,3.0,14,97,779.0,200,530.0,49.0,,,,,,,,,,boone county,"boone county,MO",05000US29019
