Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Cumberland County Sheriff Office,NC,12,,505.0,7,15.0,123,360,4197.0,1714,2283.0,200.0,,,,,,,,,,cumberland county,"cumberland county,NC",05000US37051
Currituck County Sheriff Department,NC,12,,37.0,0,2.0,2,33,544.0,114,419.0,11.0,,,,,,,,,,currituck county,"currituck county,NC",05000US37053
Dare County Sheriff Department,NC,12,,25.0,1,7.0,3,14,721.0,215,487.0,19.0,,,,,,,,,,dare county,"dare county,NC",05000US37055
Davie County Sheriff Department,NC,12,,67.0,1,6.0,8,52,728.0,268,432.0,28.0,,,,,,,,,,davie county,"davie county,NC",05000US37059
Duplin County Sheriff Office,NC,12,,150.0,7,10.0,16,117,990.0,476,468.0,46.0,,,,,,,,,,duplin county,"duplin county,NC",05000US37061
Edgecombe County Sheriff Department,NC,12,,55.0,0,6.0,11,38,602.0,295,272.0,35.0,,,,,,,,,,edgecombe county,"edgecombe county,NC",05000US37065
Forsyth County Sheriff Department,NC,12,,258.0,2,13.0,27,216,2334.0,679,1565.0,90.0,,,,,,,,,,forsyth county,"forsyth county,NC",05000US37067
Gaston County Police Department,NC,12,,193.0,2,13.0,17,161,1308.0,567,615.0,126.0,,,,,,,,,,gaston county,"gaston county,NC",05000US37071
Granville County Sheriff Department,NC,12,,77.0,0,1.0,10,66,896.0,421,436.0,39.0,,,,,,,,,,granville county,"granville county,NC",05000US37077
Greene County Sheriff Department,NC,12,,29.0,0,9.0,3,17,403.0,202,174.0,27.0,,,,,,,,,,greene county,"greene county,NC",05000US37079
Guilford County Sheriff Office,NC,12,,131.0,2,4.0,13,112,1580.0,608,885.0,87.0,,,,,,,,,,guilford county,"guilford county,NC",05000US37081
Halifax County Sheriff Office,NC,12,,115.0,5,12.0,11,87,859.0,396,416.0,47.0,,,,,,,,,,halifax county,"halifax county,NC",05000US37083
Harnett County Sheriff Office,NC,12,,259.0,3,16.0,42,198,2654.0,1099,1419.0,136.0,,,,,,,,,,harnett county,"harnett county,NC",05000US37085
Haywood County Sheriff Department,NC,12,,89.0,1,6.0,7,75,969.0,428,490.0,51.0,,,,,,,,,,haywood county,"haywood county,NC",05000US37087
Hoke County Sheriff Department,NC,10,,13.0,0,0.0,11,2,525.0,366,153.0,6.0,,,,,,,,,,hoke county,"hoke county,NC",05000US37093
Iredell County Sheriff Department,NC,12,,164.0,0,8.0,14,142,1965.0,771,1083.0,111.0,,,,,,,,,,iredell county,"iredell county,NC",05000US37097
Jackson County Sheriff Department,NC,12,,78.0,0,7.0,10,61,728.0,420,283.0,25.0,,,,,,,,,,jackson county,"jackson county,NC",05000US37099
Johnston County Sheriff Department,NC,12,,121.0,0,21.0,11,89,2228.0,895,1238.0,95.0,,,,,,,,,,johnston county,"johnston county,NC",05000US37101
Lee County Sheriff Office,NC,12,,23.0,1,4.0,1,17,648.0,211,383.0,54.0,,,,,,,,,,lee county,"lee county,NC",05000US37105
Lenoir County Sheriff Department,NC,12,,103.0,0,5.0,22,76,970.0,418,523.0,29.0,,,,,,,,,,lenoir county,"lenoir county,NC",05000US37107
Macon County Sheriff Office,NC,12,,16.0,1,2.0,1,12,398.0,146,234.0,18.0,,,,,,,,,,macon county,"macon county,NC",05000US37113
Martin County Sheriff Office,NC,12,,32.0,1,1.0,7,23,465.0,208,230.0,27.0,,,,,,,,,,martin county,"martin county,NC",05000US37117
Mcdowell County Sheriff Department,NC,12,,45.0,0,6.0,4,35,768.0,293,428.0,47.0,,,,,,,,,,mcdowell county,"mcdowell county,NC",05000US37111
Montgomery County Sheriff Department,NC,12,,39.0,3,4.0,2,30,466.0,212,233.0,21.0,,,,,,,,,,montgomery county,"montgomery county,NC",05000US37123
Moore County Sheriff Office,NC,12,,56.0,5,4.0,7,40,815.0,411,353.0,51.0,,,,,,,,,,moore county,"moore county,NC",05000US37125
Nash County Sheriff Department,NC,12,,49.0,4,5.0,5,35,642.0,322,267.0,53.0,,,,,,,,,,nash county,"nash county,NC",05000US37127
New Hanover County Sheriff Office,NC,12,,171.0,1,17.0,32,121,2181.0,603,1479.0,99.0,,,,,,,,,,new hanover county,"new hanover county,NC",05000US37129
Onslow County Sheriff Department,NC,12,,219.0,2,29.0,37,151,2911.0,848,1943.0,120.0,,,,,,,,,,onslow county,"onslow county,NC",05000US37133
Orange County Sheriff Department,NC,12,,38.0,3,3.0,11,21,586.0,341,218.0,27.0,,,,,,,,,,orange county,"orange county,NC",05000US37135
Pasquotank County Sheriff Department,NC,12,,45.0,0,0.0,12,33,355.0,160,187.0,8.0,,,,,,,,,,pasquotank county,"pasquotank county,NC",05000US37139
Pender County Sheriff Office,NC,12,,106.0,1,10.0,9,86,763.0,171,556.0,36.0,,,,,,,,,,pender county,"pender county,NC",05000US37141
Person County Sheriff Department,NC,12,,50.0,0,11.0,3,36,587.0,272,291.0,24.0,,,,,,,,,,person county,"person county,NC",05000US37145
Pitt County Sheriff Department,NC,12,,153.0,4,6.0,21,122,1238.0,461,729.0,48.0,,,,,,,,,,pitt county,"pitt county,NC",05000US37147
Randolph County Sheriff Department,NC,12,,131.0,8,16.0,19,88,2221.0,675,1457.0,89.0,,,,,,,,,,randolph county,"randolph county,NC",05000US37151
Richmond County Sheriff Office,NC,12,,135.0,7,16.0,21,91,1280.0,565,659.0,56.0,,,,,,,,,,richmond county,"richmond county,NC",05000US37153
Robeson County Sheriff Department,NC,12,,530.0,5,18.0,98,409,3580.0,1786,1616.0,178.0,,,,,,,,,,robeson county,"robeson county,NC",05000US37155
Rowan County Sheriff Office,NC,12,,140.0,2,9.0,14,115,1537.0,592,882.0,63.0,,,,,,,,,,rowan county,"rowan county,NC",05000US37159
Rutherford County Sheriff Office,NC,12,,79.0,1,4.0,7,67,1329.0,716,531.0,82.0,,,,,,,,,,rutherford county,"rutherford county,NC",05000US37161
Sampson County Sheriff Department,NC,12,,82.0,4,5.0,16,57,1393.0,772,544.0,77.0,,,,,,,,,,sampson county,"sampson county,NC",05000US37163
Scotland County Sheriff Department,NC,8,,15.0,2,0.0,3,10,308.0,167,130.0,11.0,,,,,,,,,,scotland county,"scotland county,NC",05000US37165
Stanly County Sheriff Department,NC,12,,22.0,0,3.0,3,16,522.0,224,281.0,17.0,,,,,,,,,,stanly county,"stanly county,NC",05000US37167
Stokes County Sheriff Department,NC,12,,135.0,2,5.0,1,127,1009.0,401,554.0,54.0,,,,,,,,,,stokes county,"stokes county,NC",05000US37169
Surry County Sheriff Office,NC,12,,143.0,6,11.0,16,110,1294.0,505,706.0,83.0,,,,,,,,,,surry county,"surry county,NC",05000US37171
Transylvania County Sheriff Department,NC,12,,28.0,0,4.0,1,23,301.0,143,141.0,17.0,,,,,,,,,,transylvania county,"transylvania county,NC",05000US37175
Union County Sheriff Office,NC,12,,234.0,6,14.0,32,182,2226.0,667,1456.0,103.0,,,,,,,,,,union county,"union county,NC",05000US37179
Vance County Sheriff Department,NC,12,,53.0,3,4.0,22,24,1292.0,613,597.0,82.0,,,,,,,,,,vance county,"vance county,NC",05000US37181
Wake County Sheriff Department,NC,12,,170.0,2,23.0,27,118,2462.0,1000,1276.0,186.0,,,,,,,,,,wake county,"wake county,NC",05000US37183
Warren County Sheriff Department,NC,12,,47.0,2,3.0,6,36,479.0,203,232.0,44.0,,,,,,,,,,warren county,"warren county,NC",05000US37185
Watauga County Sheriff Department,NC,12,,32.0,1,0.0,0,31,364.0,77,272.0,15.0,,,,,,,,,,watauga county,"watauga county,NC",05000US37189
Wilkes County Sheriff Department,NC,12,,122.0,2,3.0,15,102,1360.0,565,734.0,61.0,,,,,,,,,,wilkes county,"wilkes county,NC",05000US37193
Yadkin County Sheriff Department,NC,12,,87.0,1,5.0,3,78,732.0,300,405.0,27.0,,,,,,,,,,yadkin county,"yadkin county,NC",05000US37197
Bayonne City Police Dept,NJ,12,64036.0,132.0,0,6.0,41,85,817.0,205,560.0,52.0,206.1,0.0,9.4,64.0,132.7,1275.8,320.1,874.5,81.2,bayonne city,"bayonne city,NJ",16000US3403580
Camden Police Dept,NJ,12,77665.0,1993.0,67,74.0,755,1097,4007.0,1089,2214.0,704.0,2566.1,86.3,95.3,972.1,1412.5,5159.3,1402.2,2850.7,906.5,camden,"camden,NJ",05000US34007
Englewood City Police Dept,NJ,12,27460.0,81.0,0,2.0,29,50,439.0,144,269.0,26.0,295.0,0.0,7.3,105.6,182.1,1598.7,524.4,979.6,94.7,englewood city,"englewood city,NJ",16000US3421480
Hoboken City Police Dept,NJ,12,50794.0,150.0,0,11.0,43,96,995.0,151,743.0,101.0,295.3,0.0,21.7,84.7,189.0,1958.9,297.3,1462.8,198.8,hoboken city,"hoboken city,NJ",16000US3432250
Mercer County Sheriff Office,NJ,12,,1.0,0,0.0,0,1,26.0,6,17.0,3.0,,,,,,,,,,mercer county,"mercer county,NJ",05000US34021
Passaic Police Dept,NJ,12,70237.0,513.0,6,2.0,232,273,1459.0,439,863.0,157.0,730.4,8.5,2.8,330.3,388.7,2077.3,625.0,1228.7,223.5,passaic,"passaic,NJ",05000US34031
Salem Police Dept,NJ,12,28926.0,38.0,2,6.0,12,18,902.0,88,771.0,43.0,131.4,6.9,20.7,41.5,62.2,3118.3,304.2,2665.4,148.7,salem,"salem,NJ",05000US34033
Broome County Sheriff Department,NY,12,,72.0,1,9.0,7,55,855.0,208,626.0,21.0,,,,,,,,,,broome county,"broome county,NY",05000US36007
Cayuga County Sheriff Department,NY,12,,26.0,1,4.0,2,19,373.0,81,286.0,6.0,,,,,,,,,,cayuga county,"cayuga county,NY",05000US36011
Chautauqua County Sheriff Department,NY,12,,25.0,1,4.0,0,20,698.0,201,486.0,11.0,,,,,,,,,,chautauqua county,"chautauqua county,NY",05000US36013
Chemung County Sheriff Department,NY,12,,63.0,1,1.0,2,59,546.0,87,441.0,18.0,,,,,,,,,,chemung county,"chemung county,NY",05000US36015
Chenango County Sheriff Department,NY,12,,20.0,0,1.0,1,18,454.0,76,371.0,7.0,,,,,,,,,,chenango county,"chenango county,NY",05000US36017
Clinton County Sheriff Department,NY,12,,2.0,0,0.0,0,2,20.0,3,17.0,0.0,,,,,,,,,,clinton county,"clinton county,NY",05000US36019
Columbia County Sheriff Department,NY,12,,21.0,0,0.0,3,18,429.0,92,333.0,4.0,,,,,,,,,,columbia county,"columbia county,NY",05000US36021
Cortland County Sheriff Office,NY,12,,20.0,0,1.0,6,13,464.0,93,367.0,4.0,,,,,,,,,,cortland county,"cortland county,NY",05000US36023
Delaware County Sheriff Department,NY,12,,11.0,1,4.0,1,5,106.0,35,66.0,5.0,,,,,,,,,,delaware county,"delaware county,NY",05000US36025
Dutchess County Sheriff Office,NY,12,,53.0,0,3.0,9,41,764.0,182,558.0,24.0,,,,,,,,,,dutchess county,"dutchess county,NY",05000US36027
Elmira City Police Dept,NY,12,29362.0,104.0,2,1.0,40,61,1192.0,250,923.0,19.0,354.2,6.8,3.4,136.2,207.8,4059.7,851.4,3143.5,64.7,elmira city,"elmira city,NY",16000US3624229
Erie County Sheriff Office,NY,12,,119.0,1,3.0,9,106,1233.0,284,906.0,43.0,,,,,,,,,,erie county,"erie county,NY",05000US36029
Essex County Sheriff Department,NY,12,,3.0,0,0.0,0,3,6.0,3,3.0,0.0,,,,,,,,,,essex county,"essex county,NY",05000US36031
Franklin County Sheriff Department,NY,12,,0.0,0,0.0,0,0,0.0,0,0.0,0.0,,,,,,,,,,franklin county,"franklin county,NY",05000US36033
Genesee County Sheriff Department,NY,12,,26.0,0,5.0,3,18,624.0,130,472.0,22.0,,,,,,,,,,genesee county,"genesee county,NY",05000US36037
Hempstead Village Police Dept,NY,12,54380.0,464.0,9,9.0,207,239,992.0,217,636.0,139.0,853.3,16.6,16.6,380.7,439.5,1824.2,399.0,1169.5,255.6,hempstead village,"hempstead village,NY",16000US3633139
Jefferson County Sheriff Department,NY,12,,26.0,0,1.0,1,24,287.0,11,274.0,2.0,,,,,,,,,,jefferson county,"jefferson county,NY",05000US36045
Lewis County Sheriff Department,NY,12,,11.0,0,0.0,2,9,198.0,73,119.0,6.0,,,,,,,,,,lewis county,"lewis county,NY",05000US36049
