,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
augusta,0.11895424836601307,0.011764705882352941,0.09215686274509804,,,13.0,Augusta,augusta,georgia,,9815725.0,5948579.0,3016117.0,39497.0,26950.0,52104.0,68531.0,75502.0,92941.0,93149.0,51998.0,890559.0,158947.0,453616.0,180469.0,536631.0,188848.0,65021.0,39960.0,47642.0,04000US13,augusta,augusta,1530.0,0.22287581699346407,0.4859028709561405,-0.44248366013071894,1.7801754313671172,171.25928833069779,63.104782212698154,-0.6941176470588235,2.870754984047342
austin,0.18210693488618315,0.021439915299100054,0.11514028586553732,15.0,5000.0,48.0,Austin,austin,texas,LAUCT480500000000003,818236.0,595250.0,64949.0,3655.0,4377.0,8254.0,4049.0,6112.0,3286.0,3808.0,3992.0,42848.0,11318.0,41206.0,13978.0,72905.0,28608.0,8391.0,7927.0,51668.0,16000US4805000,austin,austin,3778.0,0.31868713605082055,0.5523437170188138,-0.33059820010587615,1.914859943064649,208.9588466685103,97.9778506242223,-0.4056379036527263,4.177286754110405
bakersfield,0.11717495987158909,0.10754414125200643,0.16613162118780098,,3526.0,6.0,Bakersfield,bakersfield,california,LAUCT060352600000003,353780.0,234162.0,29220.0,2431.0,1911.0,3827.0,2068.0,2036.0,2058.0,3315.0,3717.0,25324.0,7294.0,18042.0,6510.0,13110.0,4269.0,1832.0,1034.0,54422.0,16000US0603526,bakersfield,bakersfield,1246.0,0.39085072231139645,0.6602030223426133,-0.05537720706260032,2.182842730872068,186.7827788649884,82.08313212189404,1.5421348314606742,7.355299590454491
baltimore,0.17067249332362225,0.03641660597232338,0.1444525370235494,5.0,4000.0,24.0,Baltimore,baltimore,maryland,LAUCT240400000000003,620843.0,186716.0,393657.0,2623.0,1263.0,3287.0,6709.0,6088.0,7971.0,8739.0,4849.0,57060.0,9617.0,25032.0,6546.0,27195.0,12313.0,5445.0,3988.0,39788.0,16000US2404000,baltimore,baltimore,4119.0,0.35154163631949503,0.5795125546717589,-0.10208788540907987,2.249241523671487,202.1830646435802,138.97595386003823,-0.06069434328720563,4.97800715391451
batonrouge,0.14789422135161606,0.01665034280117532,0.07051909892262488,,5000.0,22.0,Baton Rouge,batonrouge,louisiana,LAUCT220500000000003,229572.0,90784.0,125201.0,800.0,278.0,743.0,957.0,987.0,2409.0,3306.0,1144.0,16535.0,3086.0,9867.0,2620.0,12593.0,4154.0,2207.0,2247.0,37419.0,16000US2205000,batonrouge,batonrouge,2042.0,0.23506366307541626,0.4488372706271915,-0.5577864838393731,1.6405537351803465,233.516713970332,699.8202921663305,-0.5538687561214496,3.5025415589656532
battlecreek,0.05405405405405406,0.036036036036036036,0.042042042042042045,,5920.0,26.0,Battle Creek,battlecreek,michigan,LAUCT260592000000003,52112.0,37726.0,9293.0,129.0,50.0,137.0,238.0,212.0,293.0,667.0,179.0,5278.0,1396.0,2554.0,786.0,2213.0,905.0,317.0,199.0,36051.0,16000US2605920,battlecreek,battlecreek,333.0,0.13213213213213212,0.3648162856117429,-0.7417417417417418,1.2464283790840587,230.55555555555554,80.9118781523689,-0.16816816816816818,4.392142005140662
beaumont,0.11588275391956374,0.02044989775051125,0.09884117246080436,,7000.0,48.0,Beaumont,beaumont,texas,LAUCT480700000000003,118440.0,51732.0,55055.0,626.0,278.0,861.0,916.0,619.0,936.0,1354.0,469.0,10993.0,2315.0,6351.0,1949.0,5461.0,1588.0,792.0,256.0,37343.0,16000US4807000,beaumont,beaumont,1467.0,0.23517382413087934,0.47578830305924824,-0.40286298568507156,1.8291463159621488,221.74708853236478,84.8193976504405,-0.4867075664621677,3.6520276747965954
bellingham,0.1437246963562753,0.06477732793522267,0.08299595141700405,,5280.0,53.0,Bellingham,bellingham,washington,LAUCT530528000000003,81647.0,70718.0,,304.0,143.0,105.0,244.0,149.0,353.0,47.0,488.0,4541.0,1897.0,3632.0,2732.0,5950.0,2265.0,624.0,635.0,41594.0,16000US5305280,bellingham,bellingham,494.0,0.291497975708502,0.5872621723065969,-0.5192307692307693,1.6903060368944078,261.6244131454929,338.19034125627076,1.0890688259109311,8.61600013697568
bemidji,,,,,5068.0,27.0,Bemidji,bemidji,minnesota,LAUCT270506800000003,,,,,,,,,,,,,,,,,,,,,,,bemidji,,,,,,,,,
bend,0.09395973154362416,0.013422818791946308,0.13087248322147652,,5800.0,41.0,Bend,bend,oregon,LAUCT410580000000003,77887.0,72126.0,,136.0,26.0,33.0,353.0,52.0,357.0,337.0,214.0,4838.0,1936.0,5217.0,2064.0,7061.0,2048.0,1150.0,341.0,49576.0,16000US4105800,bend,bend,298.0,0.23825503355704697,0.4572052881142436,-0.2651006711409396,1.943700042483681,283.9166666666785,340.9084093313216,-0.6711409395973155,2.869655367147263
