Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid.1,place.1,region,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std,black_fraction,lpop,price,college_plus_frac
Chico Police Dept,CA,12,87090.0,282.0,1,46.0,95,140,2291.0,778,1259.0,254.0,323.8,1.1,52.8,109.1,160.8,2630.6,893.3,1445.6,291.7,"chico,CA",16000US0613014,chico,0.08055555555555556,0.013888888888888888,0.04444444444444445,Chico,chico,california,LAUCT061301400000003,9.333333333333334,86920.0,72386.0,,234.0,176.0,197.0,306.0,162.0,342.0,381.0,679.0,3838.0,1900.0,4616.0,2102.0,5627.0,1432.0,350.0,691.0,41216.0,16000US0613014,chico,chico,0.3768530684540254,-0.7291666666666666,1.2746525884100628,192.4454022988793,67.18517214876856,-0.6861111111111111,2.658353697804376,,11.372743434370365,192.4454022988793,0.0931891394385642
Fresno Police Dept,CA,12,506011.0,2748.0,51,54.0,1015,1628,25737.0,5902,15534.0,4301.0,543.1,10.1,10.7,200.6,321.7,5086.3,1166.4,3069.9,850.0,"fresno,CA",16000US0627000,fresno,0.12423124231242312,0.16113161131611314,0.15375153751537515,Fresno,fresno,california,LAUCT062700000000003,12.083333333333336,501350.0,254623.0,38478.0,6610.0,3044.0,5999.0,5026.0,3892.0,3146.0,5316.0,4312.0,32720.0,8386.0,24289.0,9315.0,18433.0,4522.0,2570.0,1335.0,40761.0,16000US0627000,fresno,fresno,0.7312821609799577,-0.14268142681426815,2.0551056672489016,164.78663366336633,85.85948462522454,2.9305043050430504,9.047107387738066,0.07674877829859379,13.125059738952071,164.78663366336633,0.053575346564276455
Humboldt County Sheriff Department,CA,12,,115.0,2,10.0,31,72,1130.0,509,604.0,17.0,,,,,,,,,,"humboldt county,CA",05000US06023,humboldt,0.06299212598425198,0.01968503937007874,0.0610236220472441,Humboldt County,humboldt,california,,,135061.0,111898.0,,265.0,105.0,273.0,785.0,707.0,1045.0,1291.0,926.0,12601.0,3212.0,8630.0,3935.0,7872.0,1833.0,1002.0,906.0,40997.0,05000US06023,humboldt,humboldt,0.3781764678919471,-0.6594488188976378,1.37753506358957,255.72916666668755,80.84892045707612,-0.5629921259842521,3.0900311341787945,,11.813481807218112,255.72916666668755,0.0859833704770437
Imperial County Sheriff Department,CA,12,,139.0,0,6.0,12,121,791.0,352,419.0,20.0,,,,,,,,,,"imperial county,CA",05000US06025,imperial,0.02192982456140351,0.008771929824561403,0.030701754385964914,Imperial County,imperial,california,,,175837.0,119000.0,5400.0,2113.0,2125.0,3451.0,2242.0,2584.0,1720.0,2907.0,1812.0,13367.0,3569.0,8418.0,2858.0,4269.0,1449.0,458.0,106.0,40735.0,05000US06025,imperial,imperial,0.3051709340983694,-0.8245614035087719,0.9999613563906724,352.0,71.55417527999327,-0.8245614035087719,1.8690411404672864,0.030710260070406115,12.077312708527396,352.0,0.035726269215239116
Long Beach Police Dept,CA,12,469893.0,2705.0,32,115.0,1239,1319,14131.0,3799,7702.0,2630.0,575.7,6.8,24.5,263.7,280.7,3007.3,808.5,1639.1,559.7,"long beach,CA",16000US0643000,longbeach,0.21785578023655092,0.04921785578023656,0.10873712323540634,Long Beach,longbeach,california,LAUCT064300000000003,10.883333333333333,465125.0,251698.0,60010.0,4158.0,2696.0,5707.0,2743.0,4199.0,2369.0,3943.0,4305.0,29318.0,7016.0,25990.0,10627.0,26697.0,8009.0,3153.0,2490.0,51623.0,16000US0643000,longbeach,longbeach,0.5521734993048616,-0.3529187333078977,1.905300979177778,358.79008144997596,854.0067110232274,0.21461274322777565,5.549242790375985,0.12901908089223327,13.050061465648923,358.79008144997596,0.0867487234614351
Los Angeles Police Dept,CA,12,3855122.0,18547.0,299,936.0,8983,8329,87478.0,16388,56006.0,15084.0,481.1,7.8,24.3,233.0,216.1,2269.1,425.1,1452.8,391.3,"los angeles,CA",16000US0644000,losangeles,0.16391554702495198,0.07690339091490724,0.181190019193858,Los Angeles,losangeles,california,LAUCT064400000000003,10.908333333333333,3825653.0,2012658.0,358659.0,36984.0,35037.0,83939.0,29238.0,41190.0,21726.0,29762.0,38808.0,247888.0,45419.0,176710.0,65598.0,254027.0,75772.0,40557.0,16901.0,47742.0,16000US0644000,losangeles,losangeles,0.653416770317692,0.05355086372360972,2.294424489227247,266.4563217393831,495.35541846274947,0.9072446150565322,6.745255253348037,0.09375105374167494,15.1572397296262,266.4563217393831,0.10122637886917606
Merced Police Dept,CA,12,80976.0,810.0,9,25.0,215,561,4111.0,955,2721.0,435.0,1000.3,11.1,30.9,265.5,692.8,5076.8,1179.4,3360.3,537.2,"merced,CA",16000US0646898,merced,0.017241379310344827,,0.02873563218390805,Merced,merced,california,LAUCT064689800000003,14.54166666666667,79987.0,49100.0,4562.0,1043.0,809.0,1193.0,425.0,804.0,592.0,793.0,615.0,4846.0,1342.0,4284.0,2021.0,2042.0,624.0,344.0,173.0,38688.0,16000US0646898,merced,merced,0.23596051286247785,-0.8333333333333334,0.9741356526426482,185.0,25.980762113533157,-1.0,0.0,0.05703426806856114,11.289619400451462,185.0,0.03979396651955943
Modesto Police Dept,CA,12,204631.0,1590.0,20,59.0,450,1061,11276.0,2571,6906.0,1799.0,777.0,9.8,28.8,219.9,518.5,5510.4,1256.4,3374.9,879.1,"modesto,CA",16000US0648354,modesto,0.12121212121212123,0.05194805194805195,0.07142857142857142,Modesto,modesto,california,LAUCT064835400000003,11.183333333333335,202400.0,147805.0,7810.0,1184.0,915.0,2097.0,1368.0,1047.0,1144.0,2271.0,2050.0,17200.0,4721.0,10516.0,3906.0,6803.0,2437.0,1409.0,250.0,45405.0,16000US0648354,modesto,modesto,0.5002417460305961,-0.5670995670995671,1.5899766798791313,206.4136904761964,115.57977694852845,0.3051948051948052,5.7345411420159875,0.03858695652173913,12.218001216395448,206.4136904761964,0.05384881422924901
Monterey Police Dept,CA,12,28508.0,153.0,1,10.0,27,115,1016.0,274,704.0,38.0,536.7,3.5,35.1,94.7,403.4,3563.9,961.1,2469.5,133.3,"monterey,CA",16000US0648872,monterey,0.12645348837209305,0.036337209302325583,0.06686046511627906,Monterey,monterey,california,LAUCT064887200000003,4.608333333333333,28492.0,22099.0,,16.0,0.0,20.0,75.0,122.0,114.0,44.0,329.0,1345.0,374.0,1588.0,860.0,2294.0,1531.0,328.0,362.0,61374.0,16000US0648872,monterey,monterey,0.4760877628154037,-0.6119186046511628,1.4684366061037015,205.36398467434483,70.30137063443333,-0.09302325581395347,4.7987210983712405,,10.257378625098244,205.36398467434483,0.1584655341850344
Oakland Police Dept,CA,12,399487.0,7963.0,127,271.0,4338,3227,26342.0,6168,13198.0,6976.0,1993.3,31.8,67.8,1085.9,807.8,6594.0,1544.0,3303.7,1746.2,"oakland,CA",16000US0653000,eastbay,0.20494017753763025,0.12929370899266693,0.2300270165959089,Oakland,eastbay,california,LAUCT065300000000003,11.341666666666667,396030.0,162242.0,105709.0,4124.0,2481.0,5733.0,2908.0,3444.0,2130.0,2337.0,3362.0,24552.0,4840.0,21433.0,7369.0,28389.0,11641.0,3867.0,3596.0,50326.0,16000US0653000,eastbay,eastbay,0.7837762661488163,0.31223465843303744,2.4615108335175364,201.2257794517646,76.49369531480956,2.148591277499035,8.32087648426968,0.26692169785117287,12.889245244942915,201.2257794517646,0.11992273312627831
